Tanggal Prediksi,SONY,1810.HK
2025-04-24,24.82,45.63
2025-04-25,25.32,46.86
2025-04-28,25.81,48.1
2025-04-29,26.31,49.36
2025-04-30,26.8,50.61
2025-05-01,27.29,51.86
2025-05-02,27.77,53.11
2025-05-05,28.26,54.36
2025-05-06,28.75,55.62
2025-05-07,29.24,56.87
2025-05-08,29.73,58.08
2025-05-09,30.22,59.29
2025-05-12,30.71,60.5
2025-05-13,31.19,61.71
2025-05-14,31.68,62.91
2025-05-15,32.17,64.12
2025-05-16,32.66,65.33
2025-05-19,33.15,66.54
2025-05-20,33.64,67.75
2025-05-21,34.13,68.96
2025-05-22,34.61,70.17
2025-05-23,35.1,71.38
2025-05-26,35.59,72.59
2025-05-27,36.08,73.8
2025-05-28,36.57,75.01
2025-05-29,37.06,76.14
2025-05-30,37.54,77.26
2025-06-02,38.03,78.39
2025-06-03,38.52,79.52
2025-06-04,39.01,80.65
