Saham,Harga Saat Ini,Prediksi Besok,Prediksi 3 Bulan,Rata-rata Return Harian (%),Alokasi (IDR)
1810.HK,51.72,51.72,62.11,0.21%,"IDR 499,999,998"
NVDA,134.88,135.7,137.82,0.02%,"IDR 79,999,703"
AAPL,204.49,204.2,207.48,0.02%,"IDR 30,000,003"
INTC,21.77,21.63,22.04,0.02%,"IDR 30,000,021"
MSFT,443.71,453.21,447.09,0.01%,"IDR 30,000,041"
000660.KQ,203614.09,205570.99,205023.85,0.01%,"IDR 30,000,040"
GOOGL,172.63,173.35,174.12,0.01%,"IDR 30,000,039"
ORCL,164.17,164.61,165.33,0.01%,"IDR 30,000,037"
TSLA,327.08,328.54,327.79,0.00%,"IDR 30,000,031"
005930.KS,55760.78,55819.56,55825.37,0.00%,"IDR 30,000,028"
AMD,112.99,112.51,112.52,-0.00%,"IDR 30,000,021"
AMZN,200.92,199.74,198.89,-0.01%,"IDR 30,000,015"
GOTO.JK,66.39,65.56,65.4,-0.02%,"IDR 30,000,013"
9988.HK,105.91,104.65,99.25,-0.07%,"IDR 30,000,004"
0700.HK,449.98,447.79,427.2,-0.06%,"IDR 30,000,005"
SONY,26.36,26.27,21.3,-0.24%,"IDR 30,000,001"
