Tanggal Prediksi,NVDA,AAPL,GOOGL,005930.KS,9988.HK,000660.KQ,AMD,0700.HK,TSLA,ORCL,AMZN,INTC,MSFT
2025-04-25,108.07,206.61,159.01,54604.61,110.36,182055.94,94.25,460.86,269.89,141.51,184.43,20.15,381.98
2025-04-28,108.54,207.1,159.55,54574.52,110.44,182408.15,94.57,461.45,271.45,141.86,185.18,20.23,382.58
2025-04-29,108.84,207.42,159.97,54529.84,110.34,182635.97,94.82,460.74,272.75,142.52,185.63,20.22,383.68
2025-04-30,109.12,207.67,160.22,54507.04,110.31,182829.31,95.05,460.7,273.84,143.03,186.03,20.18,384.12
2025-05-01,109.35,207.87,160.4,54465.58,110.28,182961.63,95.27,460.58,274.84,143.77,186.36,20.22,384.59
2025-05-02,109.59,208.09,160.56,54435.71,110.3,183205.25,95.45,460.55,275.43,144.23,186.68,20.12,384.98
2025-05-05,109.74,208.24,160.73,54413.7,110.29,183368.34,95.61,460.49,276.16,144.58,186.92,20.14,385.31
2025-05-06,109.83,208.42,160.91,54396.84,110.29,183453.76,95.74,460.42,276.71,144.87,187.12,20.14,385.61
2025-05-07,110.02,208.55,161.04,54380.83,110.28,183559.07,95.84,460.42,277.49,145.12,187.74,20.14,385.79
2025-05-08,110.14,208.65,161.18,54367.22,110.27,183668.47,95.94,460.39,277.94,145.37,187.93,20.15,385.99
2025-05-09,110.25,208.75,161.26,54353.26,110.26,183746.01,96.03,460.35,278.34,145.61,188.07,20.15,386.17
2025-05-12,110.33,208.81,161.34,54342.88,110.26,183804.91,96.11,460.34,278.69,145.78,188.21,20.15,386.32
2025-05-13,110.37,208.92,161.42,54335.82,110.23,183840.83,96.18,460.3,278.99,145.88,188.29,20.23,386.45
2025-05-14,110.49,208.97,161.49,54327.86,110.23,183885.83,96.22,460.3,279.25,146.0,188.4,20.24,386.56
2025-05-15,110.55,209.03,161.54,54321.61,110.22,183934.03,96.28,460.29,279.44,146.13,188.49,20.25,386.66
2025-05-16,110.6,209.08,161.58,54314.12,110.22,183997.98,96.32,460.27,279.61,146.25,188.56,20.25,386.75
2025-05-19,110.64,209.1,161.61,54309.19,110.21,184036.78,96.36,460.27,279.76,146.32,188.62,20.26,386.8
2025-05-20,110.62,209.11,161.66,54306.42,110.22,184049.19,96.39,460.23,279.9,146.34,188.66,20.26,386.88
2025-05-21,110.71,209.17,161.69,54302.47,110.21,184072.3,96.4,460.25,280.02,146.4,188.72,20.26,386.93
2025-05-22,110.73,209.2,161.72,54299.66,110.21,184100.19,96.43,460.25,280.13,146.45,188.76,20.27,386.97
2025-05-23,110.77,209.22,161.72,54295.19,110.2,184116.66,96.45,460.22,280.25,146.52,188.79,20.27,387.02
2025-05-26,110.79,209.22,161.74,54292.68,110.2,184135.38,96.48,460.22,280.32,146.55,188.82,20.27,387.05
2025-05-27,110.75,209.25,161.77,54295.65,110.21,184138.36,96.49,460.19,280.39,146.52,188.84,20.27,387.08
2025-05-28,110.78,209.26,161.79,54294.08,110.2,184150.35,96.48,460.21,280.45,146.55,188.87,20.27,387.1
2025-05-29,110.8,209.27,161.8,54293.16,110.2,184166.01,96.5,460.21,280.49,146.45,188.89,20.27,387.12
2025-05-30,110.79,209.28,161.8,54290.18,110.2,184169.84,96.51,460.2,280.54,147.97,188.91,20.28,387.13
2025-06-02,110.79,209.28,161.78,54289.14,110.18,184115.83,96.53,460.2,280.57,148.06,188.93,20.28,387.14
2025-06-03,110.78,209.32,161.77,54286.81,110.22,184194.73,96.53,460.19,280.33,148.16,188.93,20.19,387.17
2025-06-04,110.83,209.33,161.78,54286.05,110.22,184200.94,96.51,460.21,280.35,148.25,188.96,20.19,387.19
2025-06-05,110.84,209.34,161.8,54285.59,110.22,184213.17,96.53,460.21,280.36,148.37,188.97,20.19,387.19
2025-06-06,110.85,209.35,161.79,54283.09,110.22,184216.84,96.54,460.21,280.35,148.46,188.98,20.18,387.21
2025-06-09,110.84,209.34,161.8,54283.0,110.22,184242.36,96.56,460.21,280.64,148.5,188.98,20.17,387.22
2025-06-10,110.8,209.36,161.83,54283.93,110.23,184217.42,96.55,460.18,280.65,148.52,188.97,20.17,387.23
2025-06-11,110.87,209.38,161.84,54283.89,110.23,184219.87,96.53,460.21,280.67,148.53,188.99,20.2,387.23
2025-06-12,110.88,209.38,161.85,54283.71,110.2,184220.14,96.55,460.22,280.66,148.6,189.0,20.21,387.24
2025-06-13,110.88,209.39,161.84,54281.3,110.2,184220.3,96.56,460.21,280.67,148.64,188.98,20.25,387.25
2025-06-16,110.88,209.37,161.84,54280.97,110.2,184223.8,96.57,460.21,280.69,148.66,188.99,20.25,387.25
2025-06-17,110.83,209.39,161.85,54282.27,110.2,184215.94,96.57,460.17,280.7,148.64,188.97,20.25,387.23
2025-06-18,110.89,209.39,161.86,54281.93,110.2,184216.12,96.55,460.21,280.72,148.65,188.99,20.26,387.23
2025-06-19,110.89,209.39,161.86,54282.06,110.2,184224.3,96.57,460.21,280.73,148.69,188.99,20.26,387.24
2025-06-20,110.89,209.36,161.86,54280.0,110.2,184223.82,96.57,460.2,280.73,148.73,188.99,20.26,387.24
2025-06-23,110.89,209.34,161.85,54279.79,110.2,184230.37,96.58,460.21,280.74,148.74,189.0,20.26,387.24
2025-06-24,110.85,209.35,161.86,54281.12,110.2,184217.14,96.58,460.17,280.75,148.7,188.98,20.26,387.24
2025-06-25,110.9,209.35,161.86,54281.37,110.2,184217.09,96.56,460.19,280.75,148.7,188.99,20.26,387.24
2025-06-26,110.91,209.35,161.87,54281.61,110.19,184225.71,96.57,460.19,280.75,148.73,188.99,20.27,387.25
2025-06-27,110.91,209.35,161.86,54282.71,110.19,184224.82,96.57,460.18,280.75,148.76,189.0,20.27,387.25
2025-06-30,110.87,209.33,161.86,54282.76,110.19,184232.6,96.58,460.18,280.76,148.76,189.01,20.27,387.24
2025-07-01,110.79,209.35,161.85,54284.47,110.18,184148.82,96.58,460.17,280.76,148.62,189.0,20.27,387.23
2025-07-02,110.89,209.36,161.83,54281.61,110.22,184233.49,96.56,460.21,280.47,148.7,189.02,20.16,387.23
2025-07-03,110.89,209.36,161.82,54281.53,110.22,184241.78,96.57,460.21,280.47,148.72,189.02,20.18,387.24
2025-07-04,110.88,209.36,161.81,54279.65,110.22,184241.91,96.57,460.2,280.47,148.75,189.02,20.18,387.26
2025-07-07,110.87,209.35,161.82,54279.49,110.22,184263.99,96.59,460.2,280.45,148.79,189.02,20.17,387.26
2025-07-08,110.82,209.37,161.86,54281.49,110.23,184249.2,96.58,460.18,280.71,148.74,189.01,20.17,387.26
2025-07-09,110.87,209.37,161.86,54281.68,110.22,184249.84,96.56,460.2,280.72,148.76,189.02,20.17,387.26
2025-07-10,110.88,209.37,161.86,54281.97,110.22,184245.5,96.57,460.21,280.72,148.79,189.03,20.17,387.26
2025-07-11,110.9,209.39,161.86,54280.11,110.22,184244.94,96.57,460.2,280.73,148.8,189.03,20.2,387.27
2025-07-14,110.89,209.37,161.85,54279.51,110.2,184240.93,96.58,460.21,280.73,148.81,189.02,20.2,387.26
2025-07-15,110.84,209.39,161.87,54281.09,110.2,184226.95,96.58,460.17,280.74,148.75,188.99,20.25,387.27
2025-07-16,110.89,209.39,161.87,54281.42,110.2,184225.19,96.56,460.2,280.75,148.76,189.01,20.25,387.26
2025-07-17,110.9,209.39,161.87,54281.72,110.2,184232.08,96.57,460.2,280.75,148.78,189.01,20.25,387.25
2025-07-18,110.9,209.39,161.86,54279.36,110.19,184230.51,96.57,460.2,280.75,148.81,189.01,20.26,387.25
2025-07-21,110.9,209.37,161.85,54278.96,110.19,184236.13,96.58,460.2,280.76,148.8,189.01,20.26,387.25
2025-07-22,110.84,209.35,161.87,54280.67,110.2,184224.52,96.58,460.18,280.76,148.76,188.99,20.26,387.25
2025-07-23,110.91,209.35,161.87,54281.06,110.2,184223.5,96.56,460.19,280.76,148.75,189.0,20.26,387.25
2025-07-24,110.91,209.35,161.87,54281.23,110.19,184228.22,96.58,460.19,280.76,148.78,189.0,20.26,387.25
2025-07-25,110.91,209.35,161.86,54279.37,110.19,184227.11,96.57,460.18,280.76,148.8,189.0,20.27,387.25
2025-07-28,110.91,209.33,161.85,54279.01,110.19,184233.79,96.58,460.18,280.77,148.8,189.0,20.27,387.26
2025-07-29,110.82,209.34,161.87,54283.1,110.2,184223.88,96.58,460.16,280.77,148.65,188.99,20.27,387.25
2025-07-30,110.85,209.34,161.88,54283.58,110.19,184218.4,96.56,460.2,280.77,148.65,189.01,20.27,387.23
2025-07-31,110.85,209.33,161.85,54284.02,110.18,184156.26,96.57,460.2,280.77,148.66,189.02,20.27,387.23
2025-08-01,110.85,209.34,161.84,54282.3,110.18,184151.58,96.57,460.19,280.77,148.68,189.02,20.29,387.23
2025-08-04,110.89,209.34,161.81,54279.0,110.21,184257.32,96.58,460.21,280.48,148.75,189.03,20.17,387.24
2025-08-05,110.82,209.37,161.84,54280.48,110.22,184234.89,96.58,460.17,280.49,148.74,189.01,20.18,387.26
2025-08-06,110.87,209.37,161.84,54280.45,110.22,184235.26,96.56,460.2,280.48,148.75,189.02,20.18,387.25
2025-08-07,110.88,209.36,161.84,54281.51,110.22,184243.95,96.58,460.21,280.72,148.77,189.03,20.18,387.26
2025-08-08,110.88,209.36,161.85,54279.64,110.22,184252.57,96.58,460.2,280.73,148.8,189.03,20.17,387.26
2025-08-11,110.87,209.35,161.85,54279.12,110.22,184275.11,96.59,460.2,280.73,148.82,189.03,20.17,387.26
2025-08-12,110.84,209.38,161.87,54280.44,110.2,184229.67,96.58,460.18,280.74,148.76,189.01,20.2,387.27
2025-08-13,110.89,209.38,161.87,54280.78,110.2,184228.64,96.56,460.21,280.74,148.76,189.01,20.25,387.26
2025-08-14,110.9,209.38,161.87,54281.07,110.19,184232.71,96.58,460.2,280.75,148.78,189.01,20.25,387.26
2025-08-15,110.9,209.38,161.86,54279.21,110.19,184230.93,96.58,460.2,280.75,148.81,189.01,20.26,387.27
2025-08-18,110.9,209.36,161.86,54278.83,110.19,184235.45,96.58,460.2,280.75,148.8,189.01,20.26,387.26
2025-08-19,110.84,209.38,161.87,54279.83,110.2,184224.57,96.58,460.17,280.76,148.76,188.99,20.26,387.25
2025-08-20,110.9,209.35,161.88,54280.36,110.2,184223.55,96.56,460.2,280.76,148.76,189.0,20.26,387.25
2025-08-21,110.9,209.34,161.88,54280.66,110.19,184230.69,96.58,460.21,280.76,148.78,189.01,20.26,387.25
