Tanggal Prediksi,SONY,1810.HK
2025-04-25,24.97,47.72
2025-04-25,24.97,47.72
2025-04-25,24.97,47.72
2025-04-25,24.97,47.72
2025-04-28,24.83,47.26
2025-04-29,24.68,46.79
2025-04-30,24.53,46.33
2025-05-01,24.38,45.87
2025-05-02,24.23,45.42
2025-05-05,24.08,44.96
2025-05-06,23.93,44.5
2025-05-07,23.78,44.04
2025-05-08,23.63,43.59
2025-05-09,23.47,43.13
2025-05-12,23.32,42.67
2025-05-13,23.17,42.22
2025-05-14,23.02,41.76
2025-05-15,22.86,41.3
2025-05-16,22.71,40.85
2025-05-19,22.56,40.39
2025-05-20,22.41,39.93
2025-05-21,22.25,39.48
2025-05-22,22.1,39.02
2025-05-23,21.95,38.56
2025-05-26,21.8,38.11
2025-05-27,21.65,37.65
2025-05-28,21.5,37.19
2025-05-29,21.34,36.74
2025-05-30,21.19,36.28
2025-06-02,21.04,35.82
2025-06-03,20.89,35.37
2025-06-04,20.74,34.91
2025-06-05,20.58,34.46
2025-06-06,20.43,34.0
2025-06-09,20.28,33.54
2025-06-10,20.13,33.09
2025-06-11,19.98,32.63
2025-06-12,19.82,32.17
2025-06-13,19.67,31.72
2025-06-16,19.52,31.26
2025-06-17,19.37,30.8
2025-06-18,19.22,30.35
2025-06-19,19.07,29.89
2025-06-20,18.92,29.43
2025-06-23,18.77,28.98
2025-06-24,18.62,28.52
2025-06-25,18.47,28.06
2025-06-26,18.32,27.61
2025-06-27,18.17,27.15
2025-06-30,18.03,26.69
2025-07-01,17.88,26.24
2025-07-02,17.74,25.78
2025-07-03,17.61,25.32
2025-07-04,17.47,24.87
2025-07-07,17.33,24.41
2025-07-08,17.19,23.95
2025-07-09,17.05,23.5
2025-07-10,16.91,23.04
2025-07-11,16.77,22.58
2025-07-14,16.62,22.13
2025-07-15,16.48,21.67
2025-07-16,16.34,21.22
2025-07-17,16.2,20.76
2025-07-18,16.06,20.31
2025-07-21,15.92,19.85
2025-07-22,15.78,19.4
2025-07-23,15.65,18.95
2025-07-24,15.52,18.49
2025-07-25,15.39,18.04
2025-07-28,15.27,17.59
2025-07-29,15.16,17.14
2025-07-30,15.04,16.68
2025-07-31,14.93,16.24
2025-08-01,14.81,15.79
2025-08-04,14.7,15.34
2025-08-05,14.58,14.89
2025-08-06,14.47,14.44
2025-08-07,14.35,14.0
2025-08-08,14.24,13.55
2025-08-11,14.12,13.1
2025-08-12,14.01,12.65
2025-08-13,13.89,12.2
2025-08-14,13.78,11.75
2025-08-15,13.66,11.3
2025-08-18,13.55,10.85
2025-08-19,13.43,10.4
2025-08-20,13.32,9.95
2025-08-21,13.2,9.51
2025-08-22,13.08,9.06
2025-08-25,12.97,8.62
2025-08-26,12.85,8.17
2025-08-27,12.74,7.73
2025-08-28,12.62,7.28
